frequency_hz,vout_real_v,vout_imag_v
1,-0.6744860957,-0.2541260929
1.011579454,-0.7152266639,-0.2587028343
1.023292992,-0.7582498178,-0.2628432019
1.035142167,-0.8036678386,-0.2664779194
1.047128548,-0.8515971564,-0.2695313752
1.059253725,-0.9021583766,-0.2719211757
1.071519305,-0.9554762922,-0.2735576771
1.083926914,-1.01167988,-0.2743434916
1.096478196,-1.070902278,-0.2741729688
1.109174815,-1.133280744,-0.2729316532
1.122018454,-1.198956595,-0.2704957143
1.135010816,-1.268075116,-0.266731352
1.148153621,-1.340785446,-0.2614941745
1.161448614,-1.41724044,-0.2546285507
1.174897555,-1.49759649,-0.2459669356
1.188502227,-1.58201332,-0.2353291685
1.202264435,-1.670653739,-0.2225217466
1.216186001,-1.763683355,-0.2073370706
1.230268771,-1.86127025,-0.1895526665
1.244514612,-1.963584599,-0.1689303822
1.258925412,-2.070798252,-0.14521556
1.273503081,-2.183084249,-0.1181361872
1.288249552,-2.300616291,-0.08740202508
1.303166778,-2.423568137,-0.05270371875
1.318256739,-2.552112949,-0.01371188916
1.333521432,-2.68642256,0.02992378991
1.348962883,-2.826666675,0.07857552755
1.364583137,-2.973011986,0.1326383612
1.380384265,-3.125621224,0.1925311088
1.396368361,-3.284652106,0.258697323
1.412537545,-3.450256207,0.331606245
1.428893959,-3.622577738,0.411753752
1.445439771,-3.801752219,0.4996632941
1.462177174,-3.987905063,0.5958868148
1.479108388,-4.181150046,0.70100565
1.496235656,-4.381587678,0.8156313982
1.513561248,-4.589303453,0.9404067558
1.531087462,-4.804365996,1.07600631
1.548816619,-5.026825086,1.223137279
1.56675107,-5.256709558,1.3825402
1.584893192,-5.494025092,1.55498954
1.603245391,-5.738751874,1.741294237
1.621810097,-5.990842129,1.94229815
1.640589773,-6.250217539,2.158880417
1.659586907,-6.51676653,2.391955695
1.678804018,-6.790341434,2.642474291
1.698243652,-7.070755536,2.911422154
1.717908387,-7.357779997,3.199820728
1.737800829,-7.651140657,3.508726643
1.757923614,-7.950514732,3.839231246
1.77827941,-8.2555274,4.192459941
1.798870915,-8.565748289,4.569571338
1.819700859,-8.880687863,4.971756191
1.840772001,-9.199793733,5.400236116
1.862087137,-9.522446885,5.856262074
1.883649089,-9.847957846,6.341112596
1.905460718,-10.17556279,6.856091757
1.927524913,-10.50441963,7.402526869
1.9498446,-10.83360402,7.981765884
1.972422736,-11.16210546,8.595174501
1.995262315,-11.48882328,9.24413296
2.018366364,-11.81256276,9.930032515
2.041737945,-12.13203125,10.65427157
2.065380156,-12.44583432,11.4182515
2.089296131,-12.75247212,12.22337207
2.11348904,-13.05033573,13.07102657
2.13796209,-13.33770371,13.96259654
2.162718524,-13.61273888,14.89944615
2.187761624,-13.87348516,15.88291623
2.21309471,-14.11786477,16.91431792
2.238721139,-14.34367558,17.99492597
2.264644308,-14.54858886,19.1259717
2.290867653,-14.73014723,20.30863555
2.31739465,-14.88576304,21.54403942
2.344228815,-15.01271712,22.83323851
2.371373706,-15.10815788,24.17721304
2.398832919,-15.16910096,25.57685952
2.426610095,-15.19242929,27.03298181
2.454708916,-15.17489362,28.54628195
2.483133105,-15.11311368,30.11735075
2.511886432,-15.00357987,31.74665814
2.540972706,-14.84265547,33.43454344
2.570395783,-14.62657962,35.18120539
2.600159563,-14.35147077,36.9866922
2.630267992,-14.01333094,38.85089149
2.66072506,-13.60805059,40.77352019
2.691534804,-13.1314142,42.75411452
2.722701308,-12.5791066,44.79202004
2.754228703,-11.94671999,46.8863818
