frequency_hz,vout_real_v,vout_imag_v
1,-4.788502536,10.45447764
1.011579454,-4.859149267,10.96753351
1.023292992,-4.924408119,11.50330429
1.035142167,-4.983593116,12.06260942
1.047128548,-5.03596963,12.64628365
1.059253725,-5.080751941,13.25517601
1.071519305,-5.117100724,13.89014879
1.083926914,-5.144120481,14.5520763
1.096478196,-5.160856911,15.24184352
1.109174815,-5.166294227,15.96034458
1.122018454,-5.159352425,16.70848104
1.135010816,-5.138884509,17.48716006
1.148153621,-5.103673679,18.29729229
1.161448614,-5.052430489,19.13978967
1.174897555,-4.983789985,20.01556292
1.188502227,-4.896308832,20.92551888
1.202264435,-4.788462433,21.8705576
1.216186001,-4.658642058,22.85156918
1.230268771,-4.505151999,23.86943039
1.244514612,-4.326206753,24.92500105
1.258925412,-4.119928248,26.01912006
1.273503081,-3.884343137,27.15260127
1.288249552,-3.617380172,28.32622901
1.303166778,-3.316867663,29.5407533
1.318256739,-2.980531064,30.79688484
1.333521432,-2.605990679,32.09528966
1.348962883,-2.190759535,33.43658346
1.364583137,-1.732241422,34.82132563
1.380384265,-1.227729137,36.25001302
1.396368361,-0.6744029472,37.72307328
1.412537545,-0.06932931073,39.24085804
1.428893959,0.5905401381,40.8036356
1.445439771,1.308369293,42.41158346
1.462177174,2.087437951,44.06478044
1.479108388,2.93114183,45.76319857
1.496235656,3.842992188,47.50669464
1.513561248,4.826615032,49.29500146
1.531087462,5.885749867,51.12771893
1.548816619,7.024247961,53.00430474
1.56675107,8.246070099,54.92406494
1.584893192,9.555283782,56.8861442
1.603245391,10.95605985,58.88951597
1.621810097,12.45266851,60.93297239
1.640589773,14.04947467,63.01511413
1.659586907,15.75093267,65.13434008
1.678804018,17.56158024,67.28883697
1.698243652,19.4860318,69.47656901
1.717908387,21.52897093,71.69526746
1.737800829,23.69514212,73.94242035
1.757923614,25.98934165,76.2152622
1.77827941,28.41640773,78.51076398
1.798870915,30.98120968,80.82562327
1.819700859,33.6886364,83.15625459
1.840772001,36.54358381,85.49878021
1.862087137,39.55094155,87.84902125
1.883649089,42.71557871,90.20248923
1.905460718,46.04232872,92.55437823
1.927524913,49.53597338,94.89955753
1.9498446,53.20122595,97.23256503
1.972422736,57.04271352,99.54760132
1.995262315,61.06495843,101.8385246
2.018366364,65.27235895,104.0988466
2.041737945,69.66916923,106.3217292
2.065380156,74.25947843,108.4999823
2.089296131,79.04718925,110.6260629
2.11348904,84.03599581,112.692075
2.13796209,89.22936096,114.6897711
2.162718524,94.63049312,116.6105551
2.187761624,100.2423226,118.445486
2.21309471,106.0674778,120.1852841
2.238721139,112.1082606,121.8203373
2.264644308,118.3666226,123.3407108
2.290867653,124.8441401,124.7361563
2.31739465,131.54199,125.9961249
2.344228815,138.4609253,127.1097804
2.371373706,145.6012514,128.0660144
2.398832919,152.9628023,128.8534642
2.426610095,160.5449174,129.4605312
2.454708916,168.3464193,129.8754016
2.483133105,176.365592,130.0860692
2.511886432,184.6001599,130.0803594
2.540972706,193.0472684,129.8459552
2.570395783,201.7034653,129.3704246
2.600159563,210.5646833,128.6412503
2.630267992,219.6262244,127.6458602
2.66072506,228.8827457,126.3716598
2.691534804,238.328247,124.8060661
2.722701308,247.9560599,122.9365426
2.754228703,257.7588393,120.7506355
2.786121169,267.7285567,118.2360114
2.818382931,277.856496,115.3804956
2.851018268,288.1332509,112.1721114
2.884031503,298.5487259,108.5991199
2.917427014,309.0921381,104.6500609
2.951209227,319.7520232,100.3137934
2.985382619,330.516243,95.57953726
3.01995172,341.3719959,90.43691373
3.054921113,352.3058301,84.87598703
3.090295433,363.3036592,78.88730481
3.126079367,374.3507812,72.4619384
3.16227766,385.4318994,65.59152226
3.19889511,396.5311463,58.26829257
3.235936569,407.6321102,50.48512473
3.273406949,418.7178643,42.23556946
3.311311215,429.7709984,33.51388759
3.349654392,440.7736526,24.31508302
3.388441561,451.707554,14.63493389
3.427677865,462.5540553,4.470021791
3.467368505,473.2941751,-6.182241324
3.50751874,483.9086407,-17.32358851
3.548133892,494.3779325,-28.95487572
3.589219346,504.68233,-41.0760623
3.630780548,514.8019591,-53.68619427
3.672823005,524.716841,-66.78339047
3.715352291,534.4069418,-80.36483162
3.758374043,543.8522232,-94.42675249
3.801893963,553.032694,-108.9644371
3.84591782,561.9284614,-123.9722172
3.89045145,570.5197832,-139.4434738
3.935500755,578.7871198,-155.3706419
3.981071706,586.7111858,-171.7452188
4.027170343,594.2730011,-188.5577749
4.073802778,601.453942,-205.7979683
4.120975191,608.2357906,-223.4545624
4.168693835,614.6007833,-241.5154461
4.216965034,620.5316584,-259.9676573
4.265795188,626.0117021,-278.7974096
4.315190768,631.0247923,-297.990121
4.365158322,635.555441,-317.5304457
4.415704474,639.5888347,-337.4023085
4.466835922,643.1108725,-357.5889409
4.518559444,646.1082015,-378.0729203
4.570881896,648.5682504,-398.8362104
4.623810214,650.47926,-419.8602037
4.677351413,651.8303114,-441.1257659
4.73151259,652.6113507,-462.6132812
4.786300923,652.8132117,-484.3026995
4.841723676,652.4276353,-506.1735841
4.897788194,651.4472855,-528.2051605
4.954501908,649.8657634,-550.3763658
5.011872336,647.6776171,-572.6658983
5.069907083,644.8783494,-595.052268
5.12861384,641.4644222,-617.5138465
5.188000389,637.4332577,-640.0289167
5.248074602,632.7832371,-662.5757226
5.308844442,627.5136964,-685.1325183
5.370317964,621.6249187,-707.6776163
5.432503315,615.1181252,-730.1894347
5.495408739,607.9954618,-752.6465442
5.559042573,600.2599848,-775.0277124
5.623413252,591.9156432,-797.3119481
5.688529308,582.9672591,-819.4785438
5.754399373,573.4205057,-841.5071158
5.821032178,563.2818835,-863.3776438
5.888436554,552.5586948,-885.0705076
5.956621435,541.2590155,-906.5665225
6.025595861,529.3916668,-927.8469728
6.095368972,516.9661841,-948.8936426
6.165950019,503.9927854,-969.6888452
6.237348355,490.482338,-990.2154496
6.309573445,476.4463249,-1010.456906
6.382634862,461.8968095,-1030.397267
6.45654229,446.8464005,-1050.02121
6.531305526,431.3082156,-1069.314053
6.60693448,415.2958449,-1088.261772
6.683439176,398.8233143,-1106.851014
6.760829754,381.9050486,-1125.069108
6.839116473,364.5558346,-1142.904077
6.918309709,346.7907843,-1160.34464
6.99841996,328.6252985,-1177.380223
7.079457844,310.0750306,-1194.000959
7.161434102,291.1558507,-1210.197691
7.244359601,271.8838111,-1225.961968
7.328245331,252.275111,-1241.286046
7.413102413,232.3460637,-1256.162886
7.498942093,212.113063,-1270.586141
7.58577575,191.5925519,-1284.550156
7.673614894,170.8009911,-1298.049956
7.762471166,149.7548292,-1311.081236
7.852356346,128.4704741,-1323.640349
7.943282347,106.9642648,-1335.724298
8.035261222,85.25244529,-1347.330715
8.128305162,63.35113896,-1358.457853
8.222426499,41.27632445,-1369.104567
8.317637711,19.04381279,-1379.270298
8.413951416,-3.330774215,-1388.955057
8.511380382,-25.83202435,-1398.159406
8.609937522,-48.44475408,-1406.88444
8.7096359,-71.15402639,-1415.131766
8.81048873,-93.9451673,-1422.903491
8.912509381,-116.8037812,-1430.202191
9.015711376,-139.7157648,-1437.030902
9.120108394,-162.6673203,-1443.393093
9.225714272,-185.6449663,-1449.292648
9.332543008,-208.6355493,-1454.733844
9.440608763,-231.6262519,-1459.721336
9.54992586,-254.6046018,-1464.26013
9.66050879,-277.5584786,-1468.355566
9.77237221,-300.4761199,-1472.013297
9.885530947,-323.3461262,-1475.239273
10,-346.1574651,-1478.039716
10.11579454,-368.8994745,-1480.421102
10.23292992,-391.5618647,-1482.390146
10.35142167,-414.1347196,-1483.953778
10.47128548,-436.6084976,-1485.119129
10.59253725,-458.9740313,-1485.89351
10.71519305,-481.2225262,-1486.284398
10.83926914,-503.3455594,-1486.299416
10.96478196,-525.3350771,-1485.946319
11.09174815,-547.183392,-1485.232975
11.22018454,-568.8831793,-1484.167354
11.35010816,-590.4274729,-1482.757509
11.48153621,-611.8096611,-1481.011564
11.61448614,-633.0234813,-1478.937701
11.74897555,-654.0630148,-1476.544144
11.88502227,-674.922681,-1473.839147
12.02264435,-695.5972311,-1470.830984
12.16186001,-716.0817421,-1467.527935
12.30268771,-736.3716095,-1463.938278
12.44514612,-756.4625407,-1460.070272
12.58925412,-776.3505479,-1455.932156
12.73503081,-796.0319405,-1451.532133
12.88249552,-815.5033176,-1446.878361
13.03166778,-834.7615604,-1441.97895
13.18256739,-853.8038244,-1436.841949
13.33521432,-872.6275316,-1431.475339
13.48962883,-891.2303623,-1425.887029
13.64583137,-909.6102475,-1420.084846
13.80384265,-927.7653607,-1414.076533
13.96368361,-945.69411,-1407.869738
14.12537545,-963.3951297,-1401.472015
14.28893959,-980.8672731,-1394.890813
14.45439771,-998.1096039,-1388.133476
14.62177174,-1015.121389,-1381.207239
14.79108388,-1031.902089,-1374.119222
14.96235656,-1048.451355,-1366.876428
15.13561248,-1064.769013,-1359.48574
15.31087462,-1080.855066,-1351.953918
15.48816619,-1096.709679,-1344.287599
15.6675107,-1112.333176,-1336.493291
15.84893192,-1127.72603,-1328.577376
16.03245391,-1142.888859,-1320.546103
16.21810097,-1157.822417,-1312.405595
16.40589773,-1172.527588,-1304.161839
16.59586907,-1187.00538,-1295.820691
16.78804018,-1201.256916,-1287.387875
16.98243652,-1215.283432,-1278.868982
17.17908387,-1229.086268,-1270.269469
17.37800829,-1242.666862,-1261.594661
17.57923614,-1256.026746,-1252.84975
17.7827941,-1269.167539,-1244.039798
17.98870915,-1282.090942,-1235.169734
18.19700859,-1294.798734,-1226.244358
18.40772001,-1307.292763,-1217.268339
18.62087137,-1319.574947,-1208.24622
18.83649089,-1331.647264,-1199.182414
19.05460718,-1343.511749,-1190.081212
19.27524913,-1355.170492,-1180.946777
19.498446,-1366.62563,-1171.783152
19.72422736,-1377.879346,-1162.594257
19.95262315,-1388.933862,-1153.383893
20.18366364,-1399.791439,-1144.155744
20.41737945,-1410.454369,-1134.913376
20.65380156,-1420.924976,-1125.660242
20.89296131,-1431.205607,-1116.399684
21.1348904,-1441.298636,-1107.13493
21.3796209,-1451.206454,-1097.869103
21.62718524,-1460.931471,-1088.605216
21.87761624,-1470.476109,-1079.346182
22.1309471,-1479.842805,-1070.094808
22.38721139,-1489.034001,-1060.853801
22.64644308,-1498.052148,-1051.625771
22.90867653,-1506.899702,-1042.413232
23.1739465,-1515.579118,-1033.218601
23.44228815,-1524.092852,-1024.044205
23.71373706,-1532.44336,-1014.892282
23.98832919,-1540.633092,-1005.76498
24.26610095,-1548.664492,-996.6643622
24.54708916,-1556.539997,-987.5924072
24.83133105,-1564.262035,-978.5510124
25.11886432,-1571.833024,-969.5419953
25.40972706,-1579.255369,-960.5670956
25.70395783,-1586.531463,-951.6279771
26.00159563,-1593.663682,-942.72623
26.30267992,-1600.654389,-933.8633725
26.6072506,-1607.505928,-925.0408529
26.91534804,-1614.220627,-916.2600516
27.22701308,-1620.800793,-907.5222827
27.54228703,-1627.248717,-898.8287961
27.86121169,-1633.566664,-890.1807789
28.18382931,-1639.756884,-881.579358
28.51018268,-1645.8216,-873.025601
28.84031503,-1651.763014,-864.5205183
29.17427014,-1657.583307,-856.0650651
29.51209227,-1663.284633,-847.6601423
29.85382619,-1668.869125,-839.3065991
30.1995172,-1674.338887,-831.0052336
30.54921113,-1679.696004,-822.7567953
30.90295433,-1684.942529,-814.561986
31.26079367,-1690.080496,-806.4214616
31.6227766,-1695.111908,-798.3358334
31.9889511,-1700.038744,-790.3056698
