time_s,vout_v,follower_id_a
0.0799,-0.2110576397,7.402031756e-05
0.07990005,-0.26345121,6.402180623e-05
0.0799001,-0.3151215127,5.417157222e-05
0.07990015,-0.3667388929,4.433218787e-05
0.0799002,-0.4183562731,3.449280352e-05
0.07990025,-0.4699736533,2.465341917e-05
0.0799003,-0.509584981,1.739860275e-05
0.07990035,-0.5483178095,1.033290269e-05
0.0799004,-0.587050638,3.267202628e-06
0.07990045,-0.598102574,1.722875323e-06
0.0799005,-0.6074028379,5.279455032e-07
0.07990055,-0.6104110611,1.505764021e-08
0.0799006,-0.6088211872,5.923497455e-10
0.07990065,-0.6100654802,1.226483665e-10
0.0799007,-0.6096421933,5.598703837e-11
0.07990075,-0.6097869455,3.33456932e-11
0.0799008,-0.6097448757,2.368956704e-11
0.07990085,-0.609761513,1.800128566e-11
0.0799009,-0.6097532343,1.50065299e-11
0.07990095,-0.609745538,1.214112063e-11
0.079901,-0.6097474793,1.061282643e-11
0.07990105,-0.6097494205,9.084532233e-12
0.0799011,-0.6097468562,8.159850005e-12
0.07990115,-0.6097433783,7.357538007e-12
0.0799012,-0.6097399005,6.55522601e-12
0.07990125,-0.6097384936,6.016057738e-12
0.0799013,-0.6097380993,5.605569881e-12
0.07990135,-0.6097377051,5.195082025e-12
0.0799014,-0.6097373109,4.784594169e-12
0.07990145,-0.6097355382,4.499854832e-12
0.0799015,-0.6097330914,4.27660802e-12
0.07990155,-0.6097306447,4.053361207e-12
0.0799016,-0.6097281979,3.830114394e-12
0.07990165,-0.6097268944,3.668488951e-12
0.0799017,-0.60972615,3.536997091e-12
0.07990175,-0.6097254056,3.40550523e-12
0.0799018,-0.6097246613,3.27401337e-12
0.07990185,-0.6097230077,3.177387239e-12
0.0799019,-0.6097209095,3.097810864e-12
0.07990195,-0.6097188114,3.018234489e-12
0.079902,-0.6097167132,2.938658114e-12
0.07990205,-0.6097153593,2.881881177e-12
0.0799021,-0.6097143693,2.836253436e-12
0.07990215,-0.6097133794,2.790625695e-12
0.0799022,-0.6097123894,2.744997954e-12
0.07990225,-0.6097108023,2.71613343e-12
0.0799023,-0.6097089232,2.695466318e-12
0.07990235,-0.6097070441,2.674799206e-12
0.0799024,-0.609705165,2.654132093e-12
0.07990245,-0.6097037711,2.647943256e-12
0.0799025,-0.6097026145,2.648834466e-12
0.07990255,-0.6097014579,2.649725677e-12
0.0799026,-0.6097003013,2.650616888e-12
0.07990265,-0.6096987519,2.665982017e-12
0.0799027,-0.6096970104,2.688425063e-12
0.07990275,-0.6096952689,2.71086811e-12
0.0799028,-0.6096935274,2.733311156e-12
0.07990285,-0.6096921013,2.7728828e-12
0.0799029,-0.6096908295,2.820830533e-12
0.07990295,-0.6096895576,2.868778265e-12
0.079903,-0.6096882858,2.916725997e-12
0.07990305,-0.6096867531,2.987943062e-12
0.0799031,-0.609685093,3.070539107e-12
0.07990315,-0.6096834328,3.153135152e-12
0.0799032,-0.6096817726,3.235731197e-12
0.07990325,-0.609680314,3.35451046e-12
0.0799033,-0.609678954,3.490983748e-12
0.07990335,-0.6096775939,3.627457036e-12
0.0799034,-0.6096762339,3.763930324e-12
0.07990345,-0.6096746936,3.964426614e-12
0.0799035,-0.6096730653,4.196230915e-12
0.07990355,-0.6096714369,4.428035216e-12
0.0799036,-0.6096698085,4.659839517e-12
0.07990365,-0.6096682948,5.024362201e-12
