frequency_hz,vout_real_v,vout_imag_v
1,-0.6750733711,-0.1610473698
1.011579454,-0.7141217064,-0.1595094952
1.023292992,-0.7552116015,-0.1571780903
1.035142167,-0.798431141,-0.1539674079
1.047128548,-0.8438705795,-0.1497850583
1.059253725,-0.8916222372,-0.1445316126
1.071519305,-0.9417803752,-0.1381001918
1.083926914,-0.9944410496,-0.130376039
1.096478196,-1.049701942,-0.1212360782
1.109174815,-1.107662164,-0.1105484573
1.122018454,-1.168422036,-0.0981720773
1.135010816,-1.232082832,-0.08395610791
1.148153621,-1.298746501,-0.06773948994
1.161448614,-1.368515349,-0.04935042576
1.174897555,-1.441491686,-0.02860585856
1.188502227,-1.517777437,-0.005310941679
1.202264435,-1.597473713,0.02074150075
1.216186001,-1.680680339,0.04977152016
1.230268771,-1.767495334,0.08201259539
1.244514612,-1.858014351,0.1177121878
1.258925412,-1.952330063,0.1571322981
1.273503081,-2.050531499,0.200550021
1.288249552,-2.152703322,0.2482580979
1.303166778,-2.258925057,0.3005654609
1.318256739,-2.369270258,0.3577977687
1.333521432,-2.483805614,0.420297928
1.348962883,-2.60258999,0.4884265994
1.364583137,-2.72567341,0.5625626806
1.380384265,-2.853095969,0.6431037663
1.396368361,-2.984886678,0.730466577
1.412537545,-3.121062241,0.8250873536
1.428893959,-3.261625759,0.9274222127
1.445439771,-3.406565371,1.037947456
1.462177174,-3.555852812,1.157159828
1.479108388,-3.709441907,1.285576721
1.496235656,-3.867266993,1.423736308
1.513561248,-4.029241265,1.572197618
1.531087462,-4.195255059,1.731540522
1.548816619,-4.365174056,1.902365645
1.56675107,-4.538837432,2.085294181
1.584893192,-4.716055931,2.280967615
1.603245391,-4.896609887,2.490047334
1.621810097,-5.08024718,2.713214128
1.640589773,-5.266681145,2.951167569
1.659586907,-5.455588427,3.204625261
1.678804018,-5.646606795,3.474321953
1.698243652,-5.839332923,3.761008508
1.717908387,-6.033320134,4.065450722
1.737800829,-6.228076132,4.388427983
1.757923614,-6.423060706,4.730731758
1.77827941,-6.617683448,5.093163921
1.798870915,-6.811301466,5.476534886
1.819700859,-7.003217115,5.881661565
1.840772001,-7.192675762,6.309365131
1.862087137,-7.37886359,6.760468591
1.883649089,-7.560905453,7.23579415
1.905460718,-7.737862812,7.736160379
1.927524913,-7.908731738,8.262379182
1.9498446,-8.07244103,8.815252543
1.972422736,-8.227850439,9.395569077
1.995262315,-8.373749023,10.00410037
2.018366364,-8.508853659,10.64159713
2.041737945,-8.631807709,11.30878507
2.065380156,-8.741179884,12.00636072
2.089296131,-8.835463295,12.73498692
2.11348904,-8.913074738,13.49528818
2.13796209,-8.972354202,14.28784588
2.162718524,-9.01156465,15.11319329
2.187761624,-9.028892055,15.97181042
2.21309471,-9.022445746,16.86411874
2.238721139,-8.990259045,17.79047581
2.264644308,-8.93029024,18.75116971
2.290867653,-8.840423893,19.74641348
2.31739465,-8.718472502,20.77633944
2.344228815,-8.562178533,21.84099344
2.371373706,-8.36921683,22.94032912
2.398832919,-8.137197417,24.07420216
2.426610095,-7.863668698,25.24236454
2.454708916,-7.546121071,26.44445884
2.483133105,-7.18199095,27.68001266
2.511886432,-6.768665205,28.94843307
2.540972706,-6.303486026,30.24900131
2.570395783,-5.783756204,31.58086753
2.600159563,-5.206744825,32.94304579
2.630267992,-4.569693386,34.33440934
2.66072506,-3.869822303,35.75368604
2.691534804,-3.104337825,37.19945418
2.722701308,-2.270439325,38.67013856
2.754228703,-1.365326958,40.16400698
2.786121169,-0.3862096687,41.67916704
2.818382931,0.6696864639,43.21356344
2.851018268,1.805109585,44.76497565
2.884031503,3.022773131,46.33101614
2.917427014,4.325346649,47.90912898
2.951209227,5.715446385,49.49658911
2.985382619,7.195625682,51.09050202
3.01995172,8.768365217,52.68780409
3.054921113,10.43606312,54.28526347
3.090295433,12.20102498,55.87948155
3.126079367,14.06545388,57.46689508
3.16227766,16.0314403,59.04377885
3.19889511,18.10095217,60.60624906
3.235936569,20.27582495,62.15026725
3.273406949,22.55775183,63.67164497
3.311311215,24.94827409,65.16604893
3.349654392,27.44877171,66.6290069
3.388441561,30.06045413,68.05591418
3.427677865,32.78435142,69.44204064
3.467368505,35.62130573,70.78253839
3.50751874,38.57196305,72.07245
3.548133892,41.63676554,73.30671729
3.589219346,44.81594414,74.48019056
3.630780548,48.1095118,75.58763843
3.672823005,51.51725718,76.62375807
3.715352291,55.03873887,77.58318584
3.758374043,58.67328029,78.46050841
3.801893963,62.41996508,79.25027415
3.84591782,66.27763326,79.94700489
3.89045145,70.24487795,80.54520794
3.935500755,74.32004278,81.03938835
3.981071706,78.50122005,81.42406132
4.027170343,82.78624951,81.69376485
4.073802778,87.17271795,81.84307237
4.120975191,91.6579594,81.86660553
4.168693835,96.23905614,81.75904692
4.216965034,100.9128404,81.5151528
4.265795188,105.6758966,81.12976573
4.315190768,110.5245649,80.59782707
4.365158322,115.4549444,79.91438928
4.415704474,120.4628983,79.0746281
4.466835922,125.5440583,78.07385432
4.518559444,130.693831,76.90752542
4.570881896,135.9074043,75.57125672
4.623810214,141.179754,74.0608323
4.677351413,146.5056517,72.37221537
4.73151259,151.8796728,70.50155836
4.786300923,157.2962055,68.44521237
4.841723676,162.7494592,66.19973631
4.897788194,168.2334749,63.76190533
4.954501908,173.7421345,61.12871889
5.011872336,179.2691717,58.29740813
5.069907083,184.808182,55.26544271
5.12861384,190.3526346,52.03053714
5.188000389,195.8958828,48.59065634
5.248074602,201.431176,44.94402076
5.308844442,206.951671,41.08911078
5.370317964,212.4504441,37.02467051
5.432503315,217.920503,32.74971102
5.495408739,223.3547983,28.26351286
5.559042573,228.7462364,23.56562809
5.623413252,234.0876906,18.65588158
5.688529308,239.3720138,13.53437177
5.754399373,244.5920501,8.201470855
5.821032178,249.7406468,2.657824382
5.888436554,254.8106658,-3.095649757
5.956621435,259.7949958,-9.05776282
6.025595861,264.686563,-15.22705728
6.095368972,269.4783427,-21.60180937
6.165950019,274.1633703,-28.18003218
6.237348355,278.7347517,-34.95947915
6.309573445,283.1856741,-41.93764807
6.382634862,287.509416,-49.11178553
6.45654229,291.6993569,-56.47889168
6.531305526,295.7489873,-64.03572552
6.60693448,299.6519174,-71.77881044
6.683439176,303.4018864,-79.70444015
6.760829754,306.9927707,-87.80868494
6.839116473,310.4185924,-96.0873982
6.918309709,313.6735266,-104.5362233
6.99841996,316.7519095,-113.1506005
7.079457844,319.6482448,-121.9257744
7.161434102,322.3572108,-130.8568016
7.244359601,324.8736664,-139.938558
7.328245331,327.1926572,-149.165747
7.413102413,329.3094211,-158.5329073
7.498942093,331.2193931,-168.0344213
7.58577575,332.9182104,-177.6645232
7.673614894,334.4017165,-187.4173073
7.762471166,335.6659655,-197.2867366
7.852356346,336.7072258,-207.2666512
7.943282347,337.5219828,-217.3507769
8.035261222,338.1069425,-227.5327337
8.128305162,338.4590338,-237.8060445
8.222426499,338.5754107,-248.1641435
8.317637711,338.4534542,-258.6003851
8.413951416,338.0907741,-269.1080522
8.511380382,337.4852097,-279.6803649
8.609937522,336.6348313,-290.3104888
8.7096359,335.5379405,-300.9915438
8.81048873,334.1930705,-311.7166122
8.912509381,332.5989862,-322.478747
9.015711376,330.7546838,-333.2709804
9.120108394,328.6593902,-344.0863318
9.225714272,326.3125625,-354.9178158
9.332543008,323.7138862,-365.7584502
9.440608763,320.8632746,-376.601264
9.54992586,317.7608665,-387.439305
9.66050879,314.4070246,-398.2656475
9.77237221,310.8023335,-409.0733998
9.885530947,306.9475969,-419.8557116
10,302.8438354,-430.6057811
10.11579454,298.4922835,-441.3168623
10.23292992,293.8943864,-451.9822718
10.35142167,289.051797,-462.5953957
10.47128548,283.9663724,-473.1496962
10.59253725,278.6401697,-483.6387182
10.71519305,273.0754431,-494.0560954
10.83926914,267.2746387,-504.3955567
10.96478196,261.2403913,-514.6509322
11.09174815,254.975519,-524.8161585
11.22018454,248.4830196,-534.8852851
11.35010816,241.7660648,-544.8524792
11.48153621,234.8279962,-554.7120313
11.61448614,227.6723194,-564.4583601
11.74897555,220.3026994,-574.0860173
11.88502227,212.7229549,-583.5896924
12.02264435,204.9370528,-592.964217
12.16186001,196.9491028,-602.204569
12.30268771,188.7633513,-611.3058767
12.44514612,180.3841757,-620.2634225
12.58925412,171.8160785,-629.0726466
12.73503081,163.0636812,-637.7291499
12.88249552,154.1317178,-646.2286978
13.03166778,145.0250292,-654.5672222
13.18256739,135.7485562,-662.7408248
13.33521432,126.3073338,-670.7457793
13.48962883,116.7064841,-678.5785334
13.64583137,106.9512102,-686.2357106
13.80384265,97.04678967,-693.7141122
13.96368361,86.99856792,-701.0107185
14.12537545,76.81195165,-708.1226897
14.28893959,66.49240229,-715.0473674
14.45439771,56.04542945,-721.7822746
14.62177174,45.47658433,-728.3251165
14.79108388,34.79145323,-734.6737806
14.96235656,23.995651,-740.8263364
15.13561248,13.09481462,-746.7810354
15.31087462,2.094596781,-752.5363102
15.48816619,-8.999340465,-758.0907739
15.6675107,-20.18133197,-763.4432189
15.84893192,-31.44571569,-768.5926158
16.03245391,-42.78683878,-773.5381116
16.21810097,-54.19906357,-778.2790284
16.40589773,-65.6767735,-782.8148608
16.59586907,-77.21437887,-787.1452745
16.78804018,-88.80632246,-791.2701032
16.98243652,-100.4470851,-795.1893468
17.17908387,-112.1311909,-798.9031678
17.37800829,-123.8532126,-802.4118889
17.57923614,-135.6077768,-805.71599
17.7827941,-147.3895682,-808.8161042
17.98870915,-159.1933351,-811.7130151
18.19700859,-171.0138935,-814.4076529
18.40772001,-182.8461315,-816.9010906
18.62087137,-194.6850135,-819.19454
18.83649089,-206.5255845,-821.289348
19.05460718,-218.3629732,-823.1869924
19.27524913,-230.1923961,-824.8890776
19.498446,-242.0091609,-826.3973301
19.72422736,-253.8086695,-827.7135945
19.95262315,-265.5864208,-828.8398288
20.18366364,-277.338014,-829.7780996
20.41737945,-289.0591505,-830.5305783
20.65380156,-300.745637,-831.0995353
20.89296131,-312.3933869,-831.4873364
21.1348904,-323.9984226,-831.6964374
21.3796209,-335.5568773,-831.7293797
21.62718524,-347.0649965,-831.5887855
21.87761624,-358.519139,-831.277353
22.1309471,-369.9157784,-830.7978518
22.38721139,-381.2515041,-830.1531181
22.64644308,-392.5230215,-829.3460501
22.90867653,-403.7271531,-828.3796033
23.1739465,-414.8608386,-827.2567861
23.44228815,-425.9211351,-825.9806549
23.71373706,-436.9052173,-824.5543101
23.98832919,-447.8103771,-822.9808912
24.26610095,-458.6340232,-821.2635728
24.54708916,-469.3736812,-819.4055602
24.83133105,-480.0269922,-817.4100854
25.11886432,-490.5917126,-815.2804026
25.40972706,-501.0657128,-813.0197848
25.70395783,-511.4469765,-810.6315191
26.00159563,-521.7335991,-808.1189039
26.30267992,-531.9237869,-805.4852442
26.6072506,-542.0158552,-802.7338488
26.91534804,-552.0082272,-799.8680264
27.22701308,-561.8994319,-796.8910823
27.54228703,-571.6881029,-793.8063155
27.86121169,-581.3729764,-790.617015
28.18382931,-590.952889,-787.3264572
28.51018268,-600.4267762,-783.9379029
28.84031503,-609.7936702,-780.4545946
29.17427014,-619.0526978,-776.8797538
29.51209227,-628.2030781,-773.2165784
29.85382619,-637.2441206,-769.4682407
30.1995172,-646.1752228,-765.6378844
30.54921113,-654.995868,-761.7286233
30.90295433,-663.7056227,-757.7435385
31.26079367,-672.3041349,-753.6856769
31.6227766,-680.791131,-749.5580496
31.9889511,-689.166414,-745.3636297
32.35936569,-697.4298607,-741.1053509
32.73406949,-705.5814197,-736.7861064
33.11311215,-713.6211088,-732.408747
33.49654392,-721.5490125,-727.9760803
33.88441561,-729.36528,-723.4908693
34.27677865,-737.0701221,-718.9558315
34.67368505,-744.6638099,-714.3736381
35.0751874,-752.1466715,-709.7469125
35.48133892,-759.5190902,-705.0782307
35.89219346,-766.781502,-700.3701193
36.30780548,-773.9343933,-695.6250562
36.72823005,-780.9782989,-690.8454693
37.15352291,-787.9137996,-686.0337362
37.58374043,-794.7415201,-681.1921842
38.01893963,-801.4621267,-676.3230899
38.4591782,-808.0763253,-671.4286788
38.9045145,-814.5848595,-666.5111257
39.35500755,-820.9885083,-661.572554
39.81071706,-827.2880843,-656.6150364
40.27170343,-833.4844316,-651.6405945
40.73802778,-839.5784243,-646.6511991
41.20975191,-845.570964,-641.6487706
41.68693835,-851.4629786,-636.6351787
42.16965034,-857.2554203,-631.6122435
42.65795188,-862.9492637,-626.5817351
43.15190768,-868.5455047,-621.5453743
43.65158322,-874.0451583,-616.5048332
44.15704474,-879.4492572,-611.4617353
44.66835922,-884.7588506,-606.4176563
45.18559444,-889.9750023,-601.3741243
45.70881896,-895.0987895,-596.3326207
46.23810214,-900.1313015,-591.2945809
46.77351413,-905.0736382,-586.2613941
47.3151259,-909.9269089,-581.2344051
47.86300923,-914.6922312,-576.214914
48.41723676,-919.3707294,-571.2041773
48.97788194,-923.9635338,-566.2034087
49.54501908,-928.4717797,-561.2137794
50.11872336,-932.8966057,-556.2364194
50.69907083,-937.2391533,-551.2724175
51.2861384,-941.5005658,-546.3228229
51.88000389,-945.6819871,-541.3886452
52.48074602,-949.7845613,-536.4708555
53.08844442,-953.8094313,-531.5703873
53.70317964,-957.7577386,-526.688137
54.32503315,-961.6306219,-521.8249648
54.95408739,-965.429217,-516.9816955
55.59042573,-969.1546557,-512.1591192
56.23413252,-972.808065,-507.357992
56.88529308,-976.3905673,-502.5790372
