frequency_hz,vout_real_v,vout_imag_v
1,-3.280633044,10.57293845
1.011579454,-3.26859896,11.06594459
1.023292992,-3.247282574,11.57888967
1.035142167,-3.215869603,12.11235414
1.047128548,-3.173497963,12.6669179
1.059253725,-3.119255929,13.24315866
1.071519305,-3.052180309,13.84165015
1.083926914,-2.971254611,14.46296005
1.096478196,-2.875407219,15.10764794
1.109174815,-2.763509598,15.77626297
1.122018454,-2.63437452,16.46934141
1.135010816,-2.486754327,17.18740402
1.148153621,-2.319339243,17.93095321
1.161448614,-2.130755748,18.70047008
1.174897555,-1.919565012,19.49641124
1.188502227,-1.684261426,20.31920541
1.202264435,-1.423271211,21.16924986
1.216186001,-1.134951152,22.04690666
1.230268771,-0.8175874423,22.95249871
1.244514612,-0.4693946797,23.88630557
1.258925412,-0.08851500619,24.84855908
1.273503081,0.3269825735,25.83943883
1.288249552,0.7791026865,26.85906735
1.303166778,1.26992388,27.90750516
1.318256739,1.801598681,28.98474564
1.333521432,2.376353416,30.09070961
1.348962883,2.996487762,31.22523989
1.364583137,3.664374016,32.38809552
1.380384265,4.382456058,33.57894592
1.396368361,5.153247991,34.79736487
1.412537545,5.979332436,36.04282433
1.428893959,6.863358461,37.31468816
1.445439771,7.80803912,38.61220569
1.462177174,8.816148593,39.93450524
1.479108388,9.890518893,41.28058753
1.496235656,11.03403613,42.64931909
1.513561248,12.24963633,44.03942555
1.531087462,13.54030071,45.44948503
1.548816619,14.90905056,46.87792152
1.56675107,16.35894152,48.32299827
1.584893192,17.89305734,49.78281134
1.603245391,19.5145032,51.25528323
1.621810097,21.22639834,52.73815672
1.640589773,23.03186821,54.22898882
1.659586907,24.9340361,55.72514504
1.678804018,26.93601408,57.22379392
1.698243652,29.0408935,58.72190185
1.717908387,31.25173488,60.21622831
1.737800829,33.57155719,61.7033215
1.757923614,36.00332667,63.17951438
1.77827941,38.54994505,64.64092135
1.798870915,41.21423729,66.08343535
1.819700859,43.9989388,67.50272564
1.840772001,46.90668216,68.89423622
1.862087137,49.93998348,70.25318497
1.883649089,53.1012282,71.5745635
1.905460718,56.39265668,72.85313785
1.927524913,59.81634933,74.08345
1.9498446,63.37421149,75.25982027
1.972422736,67.06795808,76.37635069
1.995262315,70.89909806,77.42692931
2.018366364,74.86891874,78.40523547
2.041737945,78.97847004,79.30474621
2.065380156,83.22854877,80.11874371
2.089296131,87.61968296,80.84032374
2.11348904,92.15211634,81.46240537
2.13796209,96.82579305,81.97774171
2.162718524,101.6403426,82.37893181
2.187761624,106.5950655,82.65843375
2.21309471,111.6889187,82.8085788
2.238721139,116.9205025,82.82158679
2.264644308,122.2880473,82.68958252
2.290867653,127.7894014,82.4046134
2.31739465,133.4220202,81.95866799
2.344228815,139.1829548,81.34369573
2.371373706,145.0688435,80.55162757
2.398832919,151.0759029,79.57439758
2.426610095,157.1999208,78.40396543
2.454708916,163.4362503,77.03233969
2.483133105,169.7798055,75.45160192
2.511886432,176.2250577,73.65393132
2.540972706,182.7660342,71.63163008
2.570395783,189.3963179,69.37714915
2.600159563,196.1090486,66.8831144
2.630267992,202.8969262,64.14235311
2.66072506,209.7522153,61.14792055
2.691534804,216.6667517,57.89312672
2.722701308,223.6319505,54.37156294
2.754228703,230.6388158,50.57712835
2.786121169,237.6779528,46.50405597
2.818382931,244.7395809,42.14693852
2.851018268,251.813549,37.50075347
2.884031503,258.8893524,32.56088757
2.917427014,265.9561513,27.32316047
2.951209227,273.002791,21.78384746
2.985382619,280.0178241,15.93970106
3.01995172,286.9895334,9.787971551
3.054921113,293.905957,3.326426105
3.090295433,300.7549143,-3.446633468
3.126079367,307.5240341,-10.53235447
3.16227766,314.2007823,-17.9313187
3.19889511,320.7724928,-25.64352954
3.235936569,327.2263972,-33.66840083
3.273406949,333.5496573,-42.00474762
3.311311215,339.7293969,-50.65077883
3.349654392,345.7527347,-59.60409192
3.388441561,351.6068181,-68.8616696
3.427677865,357.2788563,-78.41987858
3.467368505,362.7561545,-88.27447045
3.50751874,368.0261478,-98.42058461
3.548133892,373.0764346,-108.8527534
3.589219346,377.8948101,-119.5649092
3.630780548,382.4692998,-130.5503938
3.672823005,386.7881914,-141.8019695
3.715352291,390.8400666,-153.3118326
